product_id,avg_cost
13141,0.1875
13142,349.892473
13144,2.8464
13150,2.29
13153,155.0
13154,69.166667
13155,238.211382
13156,12.567901
13157,26.789634
13158,17.893923
13161,7.661667
13163,347.14
13165,7.385714
13167,8.702727
13168,28.627941
13169,127.304688
13170,330.563636
13171,1371.29805
13172,688.333333
13176,20.84058
13181,641.7
13182,873.21875
13186,85.394286
13189,2.633654
13190,19.440148
13191,10.641462
13195,478.9375
13197,6.33
13199,818.872739
13201,5.073412
13202,9.035263
13205,14.7
13206,12.483333
13208,43.573789
13209,22.439474
13210,19.602174
13211,37.515588
13212,39.72
13213,18.4015
13214,42.798896
13215,69.094675
13216,132.272834
13218,91.912
13219,76.458621
13220,825.420588
13223,85.0
13224,1882.765957
13225,213.529769
13226,36.555838
13227,50.837764
13228,2430.0
13229,1421.0
13232,1.557313
13233,11.938158
13234,7.51366
13235,25.979519
13236,21.793824
13237,68.528735
13238,42.329639
13239,8.873333
13240,36.934066
13241,1.796359
13242,1.2675
13243,301.264649
13244,6.652351
13245,2.69
13246,243.063717
13247,259.455875
13248,172.653725
13250,608.571429
13252,194.568
13253,60.859859
13254,3.453299
13257,456.077902
13263,2.0
13265,1118.411818
13266,13.881111
13267,13.92295
13268,440.004898
13270,32.288148
13272,4708.333333
13275,564.248927
13276,251.2
13277,45.969354
13280,484.162278
13281,415.274454
13285,158.4
13288,399.63794
13289,55.392105
13292,210.777647
13295,37.864077
13299,42.5
13303,560.235714
13307,370.885333
13310,71.915
13311,122.375
13313,3.802407
13314,175.293383
13315,299.713205
13316,273.597822
13317,12.235556
13318,42.1008
13320,39.566389
13321,52.41
13323,323.337577
13324,14.17
13327,6.63375
13328,3.24875
13329,3.38794
13333,638.698701
13334,1115.59569
13335,477.135077
13339,5.912761
13340,7.212479
13341,6.33
13343,342.596727
13345,191.405645
13346,15.235484
13349,142.062464
13350,94.636278
13351,65.835866
13352,1611.446481
13353,831.46911
13354,524.093193
13355,148.5
13356,154.457566
13357,276.961398
13359,171.0
13361,527.4
13362,736.51666
13363,9.6
13364,650.0
13365,81.870956
13366,55.040816
13367,19.061425
13368,19.593297
13378,4.32
13379,528.056426
13380,52.8
13382,17.12623
13383,10.210735
13391,455.987159
13393,141.731034
13397,63.6
13398,68.9
13403,612.75
13404,403.864286
13405,445.5025
13406,416.058567
13408,35.124424
13409,1.747059
13410,142.891823
13413,331.6125
13414,453.135312
13415,693.924143
13416,337.1875
13418,94.741065
13419,69.7965
13420,129.955149
13421,87.986225
13422,34.1388
13423,36.0
13424,15.940905
13425,29.64
13427,82.933333
13429,33.1875
13430,31.4
13431,110.341667
13433,200.347826
13435,9.640667
13436,16.02
13438,492.900902
13440,754.0
13441,508.991176
13442,42.492105
13445,27.29
13448,64.03
13449,1.609103
13450,20.554217
13451,448.828025
13454,12.652644
13455,243.873542
13456,48.954545
13457,4000.0
13459,6.446667
13462,21.924023
13466,28.751818
13467,30.190149
13469,41.003022
13470,133.666667
13471,152.032245
13472,236.389855
13473,0.593982
13474,0.833043
13475,1.241153
13476,7.741911
13477,21.726337
13479,240.472269
13480,10.79389
13481,848.591463
13482,2.666667
13483,1223.563196
13484,923.796512
13485,278.304845
13486,310.474783
13487,24.0
13488,58.97384
13489,4.006803
13490,25.224384
13492,22.480352
13496,43.479643
13497,101.4
13501,1073.823529
13503,30.677244
13509,567.085714
13510,50.513962
13513,235.965035
13515,250.48392
13516,170.595647
13519,154.939857
13520,303.0312
13522,194.825668
13523,128.088462
13525,133.036667
13526,195.868519
13527,297.425
13528,306.0
13529,222.301091
13530,273.97642
13531,317.319167
13533,47.765721
13534,27.34493
13535,127.173209
13537,141.172267
13539,3.095264
13541,5.765172
13544,2.194226
13547,44.416667
13551,40.761862
13552,48.858537
13553,43.57
13555,69.875
13556,42.13875
13557,32.171414
13558,10.38
13559,49.133333
13561,1.0
13562,37.003333
13563,9.835413
13564,5.883002
13565,22.93
13570,5.330769
13571,305.395556
13572,2808.502222
13573,42.435556
13575,850.0
13580,179.56676
13581,148.60459
13582,156.62875
13584,18.78
13586,565.50288
13587,881.886816
13592,13.0
13597,13.189515
13598,356.967871
13599,10.05
13601,210.288462
13602,175.0
13605,72.25
13608,20.668861
13612,321.606936
13613,27.355188
13614,271.386842
13618,313.75
13619,679.2
13624,268.610687
13625,49.092961
